ID,Effect[0],Effect[1],Effect[2],EffectPointsMin[0],EffectPointsMin[1],EffectPointsMin[2],EffectPointsMax[0],EffectPointsMax[1],EffectPointsMax[2],EffectArg[0],EffectArg[1],EffectArg[2],Name_lang[0],ItemVisual,Flags
285,1,0,0,100,0,0,100,0,0,8248,0,0,Flametongue Totem 2,0,0
289,3,0,0,0,0,0,0,0,0,7723,0,0,+8 Weapon Fire Damage,0,0
1,3,0,0,0,0,0,0,0,0,15568,0,0,Rockbiter 3,0,0
2,1,0,0,0,0,0,0,0,0,8034,0,0,Frostbrand 1,0,0
4,1,0,0,100,0,0,100,0,0,8028,0,0,Flametongue 2,0,0
8,1,0,0,30,0,0,30,0,0,2819,0,0,Deadly Poison II,0,0
9,1,0,0,30,0,0,30,0,0,2820,0,0,Poison (15 Dmg),0,0
10,1,0,0,30,0,0,30,0,0,2821,0,0,Poison (20 Dmg),0,0
13,2,0,0,3,0,0,3,0,0,0,0,0,Sharpened +3,0,0
15,4,0,0,8,0,0,8,0,0,0,0,0,Reinforced Armor +8,0,0
18,4,0,0,32,0,0,32,0,0,0,0,0,Reinforced Armor +32,0,0
19,2,0,0,2,0,0,2,0,0,0,0,0,Weighted +2,0,0
20,2,0,0,3,0,0,3,0,0,0,0,0,Weighted +3,0,0
23,1,0,0,20,0,0,20,0,0,8692,0,0,Mind-numbing Poison II,0,0
26,1,0,0,10,0,0,10,0,0,205,0,0,Frost Oil,0,0
29,3,0,0,0,0,0,0,0,0,10400,0,0,Rockbiter 1,0,0
30,2,0,0,1,0,0,1,0,0,0,0,0,Scope (+1 Damage),0,0
33,2,0,0,3,0,0,3,0,0,0,0,0,Scope (+3 Damage),0,0
34,3,0,0,0,0,0,0,0,0,7217,0,0,Counterweight +3% Attack Speed,0,0
35,1,0,0,20,0,0,20,0,0,5760,0,0,Mind Numbing Poison,0,0
38,3,0,0,0,0,0,0,0,0,7427,0,0,Defense Skill +3,0,0
40,2,0,0,2,0,0,2,0,0,0,0,0,Sharpened +2,0,0
41,3,0,0,0,0,0,0,0,0,7419,0,0,Health +5,0,0
43,3,0,0,0,0,0,0,0,0,9784,0,0,Iron Spike (8-12),0,0
44,3,0,0,0,0,0,0,0,0,7445,0,0,Absorption (10),0,0
66,3,0,0,0,0,0,0,0,0,7455,0,0,Stamina +1,0,0
67,2,0,0,1,0,0,1,0,0,0,0,0,+1 Damage,0,0
69,3,0,0,0,0,0,0,0,0,7465,0,0,+2 Strength,0,0
71,3,0,0,0,0,0,0,0,0,7477,0,0,+1 Stamina,0,0
72,3,0,0,0,0,0,0,0,0,7478,0,0,+2 Stamina,0,0
73,3,0,0,0,0,0,0,0,0,7479,0,0,+3 Stamina,0,0
75,3,0,0,0,0,0,0,0,0,7472,0,0,+2 Agility,0,0
76,3,0,0,0,0,0,0,0,0,7473,0,0,+3 Agility,0,0
78,2,0,0,3,0,0,3,0,0,0,0,0,+3 Damage,0,0
79,3,0,0,0,0,0,0,0,0,7468,0,0,+1 Intellect,0,0
82,3,0,0,0,0,0,0,0,0,7474,0,0,+1 Spirit,0,0
83,3,0,0,0,0,0,0,0,0,7475,0,0,+2 Spirit,0,0
85,4,0,0,3,0,0,3,0,0,0,0,0,+3 Armor,0,0
86,4,0,0,8,0,0,8,0,0,0,0,0,+8 Armor,0,0
89,4,0,0,16,0,0,16,0,0,0,0,0,+16 Armor,0,0
91,3,0,0,0,0,0,0,0,0,7491,0,0,+5 Agility,0,0
92,3,0,0,0,0,0,0,0,0,7492,0,0,+6 Agility,0,0
95,3,0,0,0,0,0,0,0,0,7495,0,0,+5 Intellect,0,0
97,3,0,0,0,0,0,0,0,0,7497,0,0,+7 Intellect,0,0
98,3,0,0,0,0,0,0,0,0,7498,0,0,+4 Spirit,0,0
99,3,0,0,0,0,0,0,0,0,7499,0,0,+5 Spirit,0,0
101,3,0,0,0,0,0,0,0,0,7501,0,0,+7 Spirit,0,0
104,3,0,0,0,0,0,0,0,0,7504,0,0,+6 Stamina,0,0
105,3,0,0,0,0,0,0,0,0,7505,0,0,+7 Stamina,0,0
107,3,0,0,0,0,0,0,0,0,7507,0,0,+5 Strength,0,0
108,3,0,0,0,0,0,0,0,0,7508,0,0,+6 Strength,0,0
109,3,0,0,0,0,0,0,0,0,7509,0,0,+7 Strength,0,0
112,3,0,0,0,0,0,0,0,0,7514,0,0,Defense +3,0,0
113,3,0,0,0,0,0,0,0,0,7515,0,0,Defense +4,0,0
115,3,0,0,0,0,0,0,0,0,7517,0,0,Defense +6,0,0
194,3,0,0,0,0,0,0,0,0,7596,0,0,+14 Beast Slaying,0,0
198,3,0,0,0,0,0,0,0,0,7600,0,0,Critical Hit +4%,0,0
203,3,0,0,0,0,0,0,0,0,7617,0,0,10% On Get Hit: Shadow Bolt (50 Damage),0,0
204,3,0,0,0,0,0,0,0,0,7618,0,0,10% On Get Hit: Shadow Bolt (60 Damage),0,0
206,3,0,0,0,0,0,0,0,0,7675,0,0,Increases Healing +2,0,0
207,3,0,0,0,0,0,0,0,0,7676,0,0,Increases Healing +4,0,0
208,3,0,0,0,0,0,0,0,0,7677,0,0,Increases Healing +7,0,0
211,3,0,0,0,0,0,0,0,0,7680,0,0,Increases Healing +13,0,0
213,3,0,0,0,0,0,0,0,0,7683,0,0,Increase Fire Effects +1,0,0
214,3,0,0,0,0,0,0,0,0,7684,0,0,Increases Fire Effects +3,0,0
216,3,0,0,0,0,0,0,0,0,7686,0,0,Increases Fire Effects +6,0,0
220,3,0,0,0,0,0,0,0,0,7690,0,0,Increases Nature Effects +1,0,0
221,3,0,0,0,0,0,0,0,0,7691,0,0,Increases Nature Effects +3,0,0
223,3,0,0,0,0,0,0,0,0,7693,0,0,Increases Nature Effects +6,0,0
224,3,0,0,0,0,0,0,0,0,7694,0,0,Increases Nature Effects +7,0,0
227,3,0,0,0,0,0,0,0,0,7697,0,0,Increases Frost Effects +1,0,0
229,3,0,0,0,0,0,0,0,0,7699,0,0,Increases Frost Effects +4,0,0
232,3,0,0,0,0,0,0,0,0,7702,0,0,Increases Frost Effects +9,0,0
236,3,0,0,0,0,0,0,0,0,7706,0,0,Increases Shadow Effects +4,0,0
239,3,0,0,0,0,0,0,0,0,7710,0,0,Increases Shadow Effects +9,0,0
241,2,0,0,2,0,0,2,0,0,0,0,0,Weapon Damage +2,0,0
242,3,0,0,0,0,0,0,0,0,7747,0,0,Health +15,0,0
246,3,0,0,0,0,0,0,0,0,7773,0,0,Mana +20,0,0
247,3,0,0,0,0,0,0,0,0,7778,0,0,Agility +1,0,0
250,2,0,0,1,0,0,1,0,0,0,0,0,Weapon Damage +1 ,0,0
252,3,0,0,0,0,0,0,0,0,7847,0,0,Spirit +6,0,0
253,3,0,0,0,0,0,0,0,0,7849,0,0,Absorption (50),0,0
257,4,0,0,10,0,0,10,0,0,0,0,0,Armor +10,0,0
117,2,0,0,4,0,0,4,0,0,0,0,0,+4 Damage,0,0
132,3,0,0,0,0,0,0,0,0,7529,0,0,Two-Handed Sword Skill +1,0,0
166,3,0,0,0,0,0,0,0,0,7554,0,0,Two-Handed Axe Skill +7,0,0
167,3,0,0,0,0,0,0,0,0,7534,0,0,Dagger Skill +1,0,0
182,3,0,0,0,0,0,0,0,0,7567,0,0,Bow Skill +2,0,0
195,3,0,0,0,0,0,0,0,0,7597,0,0,Critical Hit +1%,0,0
238,3,0,0,0,0,0,0,0,0,7708,0,0,Increases Shadow Effects +7,0,0
256,3,0,0,0,0,0,0,0,0,7852,0,0,+5 Fire Resistance,0,0
143,3,0,0,0,0,0,0,0,0,7546,0,0,Mace Skill +5,0,0
68,3,0,0,0,0,0,0,0,0,7464,0,0,+1 Strength,0,0
263,3,0,0,0,0,0,0,0,0,8082,0,0,Fishing Lure +25,0,0
264,3,0,0,0,0,0,0,0,0,8083,0,0,Fishing Lure +50,0,0
265,3,0,0,0,0,0,0,0,0,8084,0,0,Fishing Lure +75,0,0
199,3,0,0,0,0,0,0,0,0,7601,0,0,10% On Get Hit: Shadow Bolt (10 Damage),0,0
283,1,0,0,20,0,0,20,0,0,8233,0,0,Windfury 1,0,0
284,1,0,0,20,0,0,20,0,0,8236,0,0,Windfury 2,0,0
119,2,0,0,6,0,0,6,0,0,0,0,0,+6 Damage,0,0
121,4,0,0,20,0,0,20,0,0,0,0,0,+20 Armor,0,0
122,4,0,0,24,0,0,24,0,0,0,0,0,+24 Armor,0,0
124,1,0,0,100,0,0,100,0,0,8253,0,0,Flametongue Totem 1,0,0
127,3,0,0,0,0,0,0,0,0,7523,0,0,Sword Skill +3,0,0
128,3,0,0,0,0,0,0,0,0,7524,0,0,Sword Skill +4,0,0
129,3,0,0,0,0,0,0,0,0,7525,0,0,Sword Skill +5,0,0
134,3,0,0,0,0,0,0,0,0,7562,0,0,Two-Handed Sword Skill +3,0,0
137,3,0,0,0,0,0,0,0,0,7565,0,0,Two-Handed Sword Skill +6,0,0
139,3,0,0,0,0,0,0,0,0,7532,0,0,Mace Skill +1,0,0
140,3,0,0,0,0,0,0,0,0,7543,0,0,Mace Skill +2,0,0
141,3,0,0,0,0,0,0,0,0,7544,0,0,Mace Skill +3,0,0
148,3,0,0,0,0,0,0,0,0,7556,0,0,Two-Handed Mace Skill +3,0,0
150,3,0,0,0,0,0,0,0,0,7558,0,0,Two-Handed Mace Skill +5,0,0
151,3,0,0,0,0,0,0,0,0,7559,0,0,Two-Handed Mace Skill +6,0,0
154,3,0,0,0,0,0,0,0,0,7537,0,0,Axe Skill +2,0,0
155,3,0,0,0,0,0,0,0,0,7538,0,0,Axe Skill +3,0,0
156,3,0,0,0,0,0,0,0,0,7539,0,0,Axe Skill +4,0,0
158,3,0,0,0,0,0,0,0,0,7541,0,0,Ase Skill +6,0,0
161,3,0,0,0,0,0,0,0,0,7531,0,0,Two-Handed Axe Skill +2,0,0
162,3,0,0,0,0,0,0,0,0,7550,0,0,Two-Handed Axe Skill +3,0,0
163,3,0,0,0,0,0,0,0,0,7551,0,0,Two-Handed Axe Skill +4,0,0
169,3,0,0,0,0,0,0,0,0,7574,0,0,Dagger Skill +3,0,0
171,3,0,0,0,0,0,0,0,0,7576,0,0,Dagger Skill +5,0,0
172,3,0,0,0,0,0,0,0,0,7577,0,0,Dagger Skill +6,0,0
409,3,0,0,0,0,0,0,0,0,9264,0,0,+13 Stamina,0,0
411,3,0,0,0,0,0,0,0,0,9265,0,0,+14 Stamina,0,0
412,3,0,0,0,0,0,0,0,0,9267,0,0,+14 Strength,0,0
429,3,0,0,0,0,0,0,0,0,9398,0,0,Increase Spell Damage +8,0,0
431,3,0,0,0,0,0,0,0,0,9416,0,0,Increase Spell Damage +11,0,0
432,3,0,0,0,0,0,0,0,0,9417,0,0,Increase Spell Damage +12,0,0
439,3,0,0,0,0,0,0,0,0,9404,0,0,Increases Frost Effects +14,0,0
484,2,0,0,6,0,0,6,0,0,0,0,0,Weighted +6,0,0
523,1,0,0,100,0,0,100,0,0,10445,0,0,Flametongue 4,0,0
623,1,0,0,20,0,0,20,0,0,11335,0,0,Instant Poison IV,0,0
624,1,0,0,20,0,0,20,0,0,11336,0,0,Instant Poison V,0,0
626,1,0,0,30,0,0,30,0,0,11353,0,0,Deadly Poison III,0,0
663,2,0,0,5,0,0,5,0,0,0,0,0,Scope (+5 Damage),0,0
703,1,0,0,30,0,0,30,0,0,13218,0,0,Wound Poison,0,0
704,1,0,0,30,0,0,30,0,0,13222,0,0,Wound Poison II,0,0
706,1,0,0,30,0,0,30,0,0,13224,0,0,Wound Poison IV,0,0
142,3,0,0,0,0,0,0,0,0,7545,0,0,Mace Skill +4,0,0
147,3,0,0,0,0,0,0,0,0,7555,0,0,Two-Handed Mace Skill +2,0,0
266,3,0,0,0,0,0,0,0,0,8085,0,0,Fishing Lure +100,0,0
200,3,0,0,0,0,0,0,0,0,7614,0,0,10% On Get Hit: Shadow Bolt (20 Damage),0,0
288,3,0,0,0,0,0,0,0,0,7722,0,0,+6 Weapon Fire Damage,0,0
7,1,0,0,30,0,0,30,0,0,2818,0,0,Deadly Poison,0,0
11,1,0,0,30,0,0,30,0,0,2822,0,0,Poison (25 Dmg),0,0
14,2,0,0,4,0,0,4,0,0,0,0,0,Sharpened +4,0,0
173,3,0,0,0,0,0,0,0,0,7578,0,0,Dagger Skill +7,0,0
176,3,0,0,0,0,0,0,0,0,7580,0,0,Gun Skill +3,0,0
178,3,0,0,0,0,0,0,0,0,7582,0,0,Gun Skill +5,0,0
184,3,0,0,0,0,0,0,0,0,7569,0,0,Bow Skill +4,0,0
185,3,0,0,0,0,0,0,0,0,7570,0,0,Bow Skill +5,0,0
187,3,0,0,0,0,0,0,0,0,7572,0,0,Bow Skill +7,0,0
188,3,0,0,0,0,0,0,0,0,7590,0,0,+2 Beast Slaying,0,0
191,3,0,0,0,0,0,0,0,0,7593,0,0,+8 Beast Slaying,0,0
192,3,0,0,0,0,0,0,0,0,7594,0,0,+10 Beast Slaying,0,0
372,3,0,0,0,0,0,0,0,0,9123,0,0,+12 Strength,0,0
383,4,0,0,52,0,0,52,0,0,0,0,0,+52 Armor,0,0
384,4,0,0,56,0,0,56,0,0,0,0,0,+56 Armor,0,0
385,4,0,0,60,0,0,60,0,0,0,0,0,+60 Armor,0,0
389,4,0,0,87,0,0,88,0,0,0,0,0,+19 Armor,0,0
423,3,0,0,0,0,0,0,0,0,9392,0,0,Increase Spell Damage +1,0,0
425,3,0,0,0,0,0,0,0,0,9394,0,0,Increase Spell Damage +4,0,0
426,3,0,0,0,0,0,0,0,0,9395,0,0,Increase Spell Damage +5,0,0
433,3,0,0,0,0,0,0,0,0,9399,0,0,Increase Fire Damage +11,0,0
435,3,0,0,0,0,0,0,0,0,9401,0,0,Increases Fire Damage +14,0,0
436,3,0,0,0,0,0,0,0,0,9405,0,0,Critical Hit +5%,0,0
437,3,0,0,0,0,0,0,0,0,9402,0,0,Increases Frost Effects +11,0,0
438,3,0,0,0,0,0,0,0,0,9403,0,0,Increases Frost Effects +13,0,0
440,3,0,0,0,0,0,0,0,0,9406,0,0,Increases Healing +12,0,0
441,3,0,0,0,0,0,0,0,0,9407,0,0,Increases Healing +20,0,0
445,3,0,0,0,0,0,0,0,0,9411,0,0,Increases Nature Effects +14,0,0
446,3,0,0,0,0,0,0,0,0,9412,0,0,Increases Shadow Effects +11,0,0
447,3,0,0,0,0,0,0,0,0,9413,0,0,Increases Shadow Effects +13,0,0
463,3,0,0,0,0,0,0,0,0,9782,0,0,Mithril Spike (16-20),0,0
483,2,0,0,6,0,0,6,0,0,0,0,0,Sharpened +6,0,0
503,3,0,0,0,0,0,0,0,0,15569,0,0,Rockbiter 4,0,0
351,3,0,0,0,0,0,0,0,0,9109,0,0,+8 Spirit,0,0
354,3,0,0,0,0,0,0,0,0,9105,0,0,+9 Intellect,0,0
358,3,0,0,0,0,0,0,0,0,9100,0,0,+10 Agility,0,0
361,3,0,0,0,0,0,0,0,0,9117,0,0,+10 Stamina,0,0
543,1,0,0,100,0,0,100,0,0,10523,0,0,Flametongue Totem 3,0,0
563,1,0,0,20,0,0,20,0,0,10608,0,0,Windfury Totem 2,0,0
583,3,3,0,0,0,0,0,0,0,7471,7474,0,+1 Agility / +1 Spirit,0,0
587,3,3,0,0,0,0,0,0,0,7468,7474,0,+1 Intellect / +1 Spirit,0,0
588,3,3,0,0,0,0,0,0,0,7468,7477,0,+1 Intellect / +1 Stamina,0,0
590,3,3,0,0,0,0,0,0,0,7474,7477,0,+1 Spirit / +1 Stamina,0,0
591,3,3,0,0,0,0,0,0,0,7474,7464,0,+1 Spirit / +1 Strength,0,0
664,2,0,0,7,0,0,7,0,0,0,0,0,Scope (+7 Damage),0,0
365,3,0,0,0,0,0,0,0,0,9112,0,0,+11 Spirit,0,0
368,3,0,0,0,0,0,0,0,0,9102,0,0,+12 Agility,0,0
371,3,0,0,0,0,0,0,0,0,9119,0,0,+12 Stamina,0,0
403,3,0,0,0,0,0,0,0,0,9258,0,0,+13 Agility,0,0
406,3,0,0,0,0,0,0,0,0,9261,0,0,+14 Intellect,0,0
410,3,0,0,0,0,0,0,0,0,9266,0,0,+13 Strength,0,0
424,3,0,0,0,0,0,0,0,0,9393,0,0,Increase Spell Damage +2,0,0
430,3,0,0,0,0,0,0,0,0,9415,0,0,Increase Spell Damage +9,0,0
434,3,0,0,0,0,0,0,0,0,9400,0,0,Increase Fire Damage +13,0,0
193,3,0,0,0,0,0,0,0,0,7595,0,0,+12 Beast Slaying,0,0
201,3,0,0,0,0,0,0,0,0,7615,0,0,10% On Get Hit: Shadow Bolt (30 Damage),0,0
234,3,0,0,0,0,0,0,0,0,7704,0,0,Increases Shadow Effects +1,0,0
524,1,0,0,0,0,0,0,0,0,10458,0,0,Frostbrand 3,0,0
235,3,0,0,0,0,0,0,0,0,7705,0,0,Increases Shadow Effects +3,0,0
286,3,0,0,0,0,0,0,0,0,7711,0,0,+2 Weapon Fire Damage,0,0
683,3,0,0,0,0,0,0,0,0,16312,0,0,Rockbiter 6,0,0
684,3,0,0,0,0,0,0,0,0,13198,0,0,+15 Strength,0,0
240,3,0,0,0,0,0,0,0,0,7709,0,0,Increases Shadow Effects +10,0,0
243,3,0,0,0,0,0,0,0,0,7456,0,0,Spirit +1,0,0
245,4,0,0,5,0,0,5,0,0,0,0,0,Armor +5,0,0
248,3,0,0,0,0,0,0,0,0,7780,0,0,Strength +1,0,0
249,3,0,0,0,0,0,0,0,0,7784,0,0,Beastslaying +2,0,0
251,3,0,0,0,0,0,0,0,0,7792,0,0,Intellect +1,0,0
254,3,0,0,0,0,0,0,0,0,7850,0,0,Health +25,0,0
255,3,0,0,0,0,0,0,0,0,7851,0,0,Spirit +3,0,0
133,3,0,0,0,0,0,0,0,0,7561,0,0,Two-Handed Sword Skill +2,0,0
196,3,0,0,0,0,0,0,0,0,7598,0,0,Critical Hit +2%,0,0
219,3,0,0,0,0,0,0,0,0,7689,0,0,Increases Fire Damage +10,0,0
5,1,0,0,100,0,0,100,0,0,8026,0,0,Flametongue 1,0,0
3,1,0,0,100,0,0,100,0,0,8029,0,0,Flametongue 3,0,0
12,1,0,0,0,0,0,0,0,0,8037,0,0,Frostbrand 2,0,0
16,4,0,0,16,0,0,16,0,0,0,0,0,Reinforced Armor +16,0,0
24,3,0,0,0,0,0,0,0,0,7442,0,0,Mana +5,0,0
31,3,0,0,0,0,0,0,0,0,7433,0,0,Beastslaying +4,0,0
37,3,0,0,0,0,0,0,0,0,7219,0,0,Weapon Chain - Immune Disarm,0,0
39,3,0,0,0,0,0,0,0,0,0,0,0,Sharpened +1,0,0
42,1,0,0,10,0,0,30,0,0,6647,0,0,Poison (Instant 20),0,0
525,1,0,0,20,0,0,20,0,0,10484,0,0,Windfury 3,0,0
63,3,0,0,0,0,0,0,0,0,7446,0,0,Absorption (25),0,0
65,3,0,0,0,0,0,0,0,0,7452,0,0,+1 All Resistances,0,0
70,3,0,0,0,0,0,0,0,0,7466,0,0,+3 Strength,0,0
74,3,0,0,0,0,0,0,0,0,7471,0,0,+1 Agility,0,0
81,3,0,0,0,0,0,0,0,0,7470,0,0,+3 Intellect,0,0
87,4,0,0,12,0,0,12,0,0,0,0,0,+12 Armor,0,0
93,3,0,0,0,0,0,0,0,0,7493,0,0,+7 Agility,0,0
102,3,0,0,0,0,0,0,0,0,7502,0,0,+4 Stamina,0,0
111,3,0,0,0,0,0,0,0,0,7513,0,0,Defense +2,0,0
116,3,0,0,0,0,0,0,0,0,7518,0,0,Defense +7,0,0
125,3,0,0,0,0,0,0,0,0,7520,0,0,Sword Skill +1,0,0
131,3,0,0,0,0,0,0,0,0,7527,0,0,Sword Skill +7,0,0
136,3,0,0,0,0,0,0,0,0,7564,0,0,Two-Handed Sword Skill +5,0,0
138,3,0,0,0,0,0,0,0,0,7566,0,0,Two-Handed Sword Skill +7,0,0
144,3,0,0,0,0,0,0,0,0,7547,0,0,Mace Skill +6,0,0
146,3,0,0,0,0,0,0,0,0,7533,0,0,Two-Handed Mace Skill +1,0,0
149,3,0,0,0,0,0,0,0,0,7557,0,0,Two-Handed Mace Skill +4,0,0
152,3,0,0,0,0,0,0,0,0,7560,0,0,Two-Handed Mace Skill +7,0,0
17,4,0,0,24,0,0,24,0,0,0,0,0,Reinforced Armor +24,0,0
22,1,0,0,30,0,0,30,0,0,3409,0,0,Crippling Poison,0,0
25,1,0,0,15,0,0,15,0,0,705,0,0,Shadow Oil,0,0
28,3,0,0,0,0,0,0,0,0,7438,0,0,+4 All Resistances,0,0
36,1,0,0,15,0,0,15,0,0,6297,0,0,Enchant: Fire,0,0
77,2,0,0,2,0,0,2,0,0,0,0,0,+2 Damage,0,0
80,3,0,0,0,0,0,0,0,0,7469,0,0,+2 Intellect,0,0
84,3,0,0,0,0,0,0,0,0,7476,0,0,+3 Spirit,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
325,1,0,0,20,0,0,20,0,0,8689,0,0,Instant Poison III,0,0
427,3,0,0,0,0,0,0,0,0,9396,0,0,Increase Spell Damage +6,0,0
444,3,0,0,0,0,0,0,0,0,9410,0,0,Increases Nature Effects +13,0,0
603,1,0,0,30,0,0,30,0,0,11201,0,0,Crippling Poison II,0,0
90,3,0,0,0,0,0,0,0,0,7490,0,0,+4 Agility,0,0
94,3,0,0,0,0,0,0,0,0,7494,0,0,+4 Intellect,0,0
96,3,0,0,0,0,0,0,0,0,7496,0,0,+6 Intellect,0,0
100,3,0,0,0,0,0,0,0,0,7500,0,0,+6 Spirit,0,0
106,3,0,0,0,0,0,0,0,0,7506,0,0,+4 Strength,0,0
110,3,0,0,0,0,0,0,0,0,7511,0,0,+1 Defense,0,0
114,3,0,0,0,0,0,0,0,0,7516,0,0,Defense +5,0,0
120,2,0,0,7,0,0,7,0,0,0,0,0,+7 Damage,0,0
123,4,0,0,28,0,0,28,0,0,0,0,0,+28 Armor,0,0
126,3,0,0,0,0,0,0,0,0,7522,0,0,Sword Skill +2,0,0
130,3,0,0,0,0,0,0,0,0,7526,0,0,Sword Skill +6,0,0
135,3,0,0,0,0,0,0,0,0,7563,0,0,Two-Handed Sword Skill +4,0,0
157,3,0,0,0,0,0,0,0,0,7540,0,0,Axe Skill +5,0,0
160,3,0,0,0,0,0,0,0,0,7549,0,0,Two-Handed Axe Skill +1,0,0
153,3,0,0,0,0,0,0,0,0,7530,0,0,Axe Skill +1,0,0
159,3,0,0,0,0,0,0,0,0,7542,0,0,Axe Skill +7,0,0
165,3,0,0,0,0,0,0,0,0,7553,0,0,Two-Handed Axe Skill +6,0,0
175,3,0,0,0,0,0,0,0,0,7579,0,0,Gun Skill +2,0,0
183,3,0,0,0,0,0,0,0,0,7568,0,0,Bow Skill +3,0,0
189,3,0,0,0,0,0,0,0,0,7591,0,0,+4 Beast Slaying,0,0
290,3,0,0,0,0,0,0,0,0,7724,0,0,+10 Weapon Fire Damage,0,0
291,3,0,0,0,0,0,0,0,0,7725,0,0,+12 Weapon Fire Damage,0,0
292,3,0,0,0,0,0,0,0,0,7726,0,0,+14 Weapon Fire Damage,0,0
564,1,0,0,20,0,0,20,0,0,10610,0,0,Windfury Totem 3,0,0
584,3,3,0,0,0,0,0,0,0,7471,7468,0,+1 Agility / +1 Intellect,0,0
625,1,0,0,20,0,0,20,0,0,11337,0,0,Instant Poison VI,0,0
197,3,0,0,0,0,0,0,0,0,7599,0,0,Critical Hit +3%,0,0
202,3,0,0,0,0,0,0,0,0,7616,0,0,10% On Get Hit: Shadow Bolt (40 Damage),0,0
205,3,0,0,0,0,0,0,0,0,7619,0,0,10% On Get Hit: Shadow Bolt (70 Damage),0,0
209,3,0,0,0,0,0,0,0,0,7678,0,0,Increases Healing +9,0,0
212,3,0,0,0,0,0,0,0,0,7681,0,0,Increases Healing +15,0,0
215,3,0,0,0,0,0,0,0,0,7685,0,0,Increases Fire Effects +4,0,0
218,3,0,0,0,0,0,0,0,0,7688,0,0,Increases Fire Damage +9,0,0
