ID,PrecastKit,CastKit,ImpactKit,StateKit,ChannelKit,HasMissile,MissileModel,MissilePathType,MissileDestinationAttachment,MissileSound,HasAreaEffect,AreaModel,AreaKit,AnimEventSoundID,Flags
385,223,538,0,0,0,0,0,0,1,0,0,0,0,0,0
386,0,539,809,0,0,0,0,0,1,0,0,0,0,0,0
387,0,517,540,0,0,0,0,0,1,0,0,0,0,0,0
388,0,181,0,541,0,0,0,0,0,0,0,0,0,0,0
389,0,324,437,587,0,0,0,0,1,0,0,0,0,0,0
390,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,0,0,0,0,0,0,1,0,0,1,4349,0,0
2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,32,11,0,0,0,0,0,0,1,0,1,74,4349,0,0
4,6,6,5,0,0,1,17,0,1,0,0,0,0,0,0
5,7,164,1947,0,0,0,0,0,1,4222,0,0,0,0,0
6,0,395,0,697,0,0,0,0,1,0,0,0,0,0,0
7,45,46,9,33,0,0,0,0,1,0,0,22,4349,0,0
8,32,11,18,0,0,0,0,0,1,0,0,0,0,0,0
9,137,138,0,0,0,0,0,0,1,0,1,27,4349,0,0
10,114,118,0,87,0,0,0,0,1,0,0,0,0,0,0
11,17,47,0,0,0,0,0,0,1,0,1,29,4349,0,0
12,0,0,0,4689,0,0,0,0,1,0,0,0,0,0,0
13,194,202,4991,3531,0,1,259,0,1,3013,0,0,0,0,1
14,195,203,0,73,0,0,0,0,1,0,0,0,0,0,0
15,32,11,0,73,0,0,0,0,1,0,0,0,0,0,0
16,195,203,24,0,0,0,0,0,1,0,0,0,0,0,0
17,195,160,0,285,0,0,0,0,1,0,0,0,0,0,0
18,31,19,26,0,0,0,0,0,1,0,0,0,0,0,0
19,36,37,3031,0,0,0,0,0,1,0,0,0,0,0,0
20,30,38,133,0,0,1,52,0,1,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,1,0,1,51,4349,0,0
22,30,38,286,0,0,0,0,0,1,3011,0,0,0,0,0
23,0,3595,2614,0,0,0,0,0,1,0,0,0,0,0,0
24,35,11,34,33,0,0,0,0,1,0,0,22,4349,0,0
25,12,11,0,79,0,0,0,0,1,0,0,22,4349,0,0
26,35,11,24,0,0,0,0,0,1,0,0,0,0,0,0
27,217,218,42,0,0,0,0,0,1,0,0,0,0,0,0
28,30,38,145,0,0,1,188,0,1,1454,0,0,0,0,0
29,0,44,0,0,0,0,0,0,1,0,0,0,0,0,0
30,0,0,728,0,0,0,0,0,1,0,1,257,695,0,0
31,30,38,0,0,0,0,0,0,1,0,1,69,4349,0,0
32,345,181,56,0,0,0,0,0,1,0,0,0,0,0,0
33,60,61,0,235,716,0,0,0,1,0,1,420,695,0,0
34,0,259,255,0,0,0,0,0,1,0,0,0,0,0,0
35,30,38,57,0,0,0,0,0,1,0,0,0,0,0,0
36,124,321,282,0,0,0,0,0,1,0,0,0,0,0,0
37,223,224,62,292,0,0,0,0,1,0,0,293,4349,0,0
38,345,181,0,66,0,0,0,0,1,0,0,0,0,0,0
39,0,324,437,0,0,0,0,0,1,0,0,0,0,0,0
40,17,47,0,69,0,0,0,0,1,0,0,0,0,0,0
41,193,191,70,0,0,0,0,0,1,0,0,0,0,0,0
42,0,468,83,0,0,0,0,0,1,0,0,0,0,0,0
43,30,38,0,0,0,0,0,0,1,0,0,0,0,0,0
44,0,75,0,0,0,0,0,0,1,0,0,0,0,0,0
45,36,37,53,0,0,0,0,0,1,0,0,0,0,0,0
46,60,61,76,235,0,0,0,0,1,0,0,0,0,0,0
47,0,81,373,108,0,0,0,0,1,0,0,0,0,0,0
48,64,65,78,0,0,0,0,0,1,0,0,0,0,0,0
49,0,84,85,0,0,0,0,0,1,0,0,0,0,0,0
50,0,86,90,0,0,0,0,0,1,0,0,0,0,0,0
51,0,406,0,0,0,0,0,0,1,0,0,0,0,0,2
52,0,91,89,0,0,0,0,0,1,0,0,0,0,0,0
53,92,92,0,0,0,0,0,0,1,0,0,0,0,0,0
54,0,0,4990,0,0,0,0,0,1,0,0,0,0,0,0
55,0,324,82,33,0,0,0,0,1,0,0,22,4349,0,0
56,0,0,0,69,0,0,0,0,1,0,0,0,0,0,0
57,99,270,98,0,0,0,0,0,1,0,0,0,0,0,0
58,100,183,101,0,0,0,0,0,1,0,0,0,0,0,0
59,102,103,24,0,0,0,0,0,1,0,0,0,0,0,0
60,104,105,24,0,0,0,0,0,1,0,0,0,0,0,0
61,195,203,24,0,0,0,0,0,1,0,0,0,0,0,0
62,109,110,112,111,0,0,0,0,1,0,0,0,0,0,0
63,99,270,431,0,0,0,0,0,1,0,0,0,0,0,0
64,114,118,219,0,0,1,151,0,1,3015,0,0,0,0,0
65,0,116,115,0,0,0,0,0,1,0,0,0,0,0,0
66,0,0,122,0,0,0,0,0,1,0,0,0,0,0,0
67,30,38,286,0,0,1,365,0,1,3011,0,0,0,0,0
68,266,267,126,360,0,0,0,0,1,0,0,0,0,0,0
69,0,127,0,0,0,0,0,0,1,0,0,0,0,0,0
70,114,118,0,535,0,0,0,0,1,0,0,0,0,0,0
71,217,218,304,0,0,0,0,0,1,3015,0,0,0,0,0
72,266,425,130,3450,0,0,0,0,1,0,0,0,0,0,0
73,131,132,0,136,0,0,0,0,1,0,0,0,0,0,0
74,137,138,0,0,729,0,0,0,1,0,0,0,0,0,0
75,140,141,142,0,0,0,0,0,1,0,0,0,0,0,0
76,99,270,146,0,0,0,0,0,1,0,0,0,0,0,0
77,99,96,147,0,0,0,0,0,1,0,0,0,0,0,0
78,99,270,148,0,0,0,0,0,1,0,0,0,0,0,0
79,99,96,149,0,0,0,0,0,1,0,0,0,0,0,0
80,99,270,150,0,0,0,0,0,1,0,0,0,0,0,0
81,99,96,151,0,0,0,0,0,1,0,0,0,0,0,0
82,99,270,152,0,0,0,0,0,1,0,0,0,0,0,0
83,99,96,153,0,0,0,0,0,1,0,0,0,0,0,0
84,0,0,0,1564,0,0,0,0,1,0,0,0,0,0,0
85,43,67,82,0,0,0,0,0,1,0,0,0,0,0,0
86,99,270,226,0,0,0,0,0,1,0,0,0,0,0,0
87,266,730,0,27,0,0,0,0,1,0,0,0,0,0,0
88,159,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,0,0,0,0,0,1,188,0,1,0,0,1,4349,0,0
90,0,162,133,0,0,0,0,0,1,0,0,0,0,0,0
91,64,0,0,0,0,0,0,0,1,0,0,0,0,1142,0
92,163,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,166,0,0,0,0,0,0,0,1,3782,0,0,0,1143,0
94,106,47,18,0,0,1,32,0,1,0,0,0,0,0,0
95,169,47,18,0,0,1,32,0,1,0,0,0,0,0,0
96,170,47,18,0,0,1,32,0,1,0,0,0,0,0,0
97,124,316,317,0,0,0,157,0,1,0,0,0,0,0,0
98,171,172,0,0,0,0,0,0,1,3318,0,0,0,0,0
99,217,4212,0,0,0,0,0,0,1,0,0,0,0,0,0
100,0,173,0,3949,3729,0,0,0,1,0,0,0,0,0,0
101,0,438,0,0,0,0,0,0,1,0,0,0,0,0,2
102,159,0,0,0,0,0,0,0,1,0,0,0,0,0,0
103,0,173,0,0,0,0,0,0,1,0,0,0,0,0,0
104,176,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,217,218,0,0,0,0,0,0,1,0,1,459,4349,0,0
106,0,178,0,0,0,0,0,0,1,0,0,0,0,0,0
107,0,179,362,0,0,0,0,0,1,1454,0,0,0,0,0
108,358,368,0,0,0,0,0,0,1,0,0,0,0,0,0
109,0,180,0,0,0,0,0,0,1,0,0,0,0,0,0
110,0,182,815,0,0,0,0,0,1,0,0,0,0,0,0
111,0,0,145,0,0,0,0,0,1,0,0,0,0,0,0
112,0,182,82,349,0,0,0,0,1,0,0,0,0,0,0
113,0,86,90,33,0,0,0,0,1,0,0,0,0,0,0
114,198,206,215,0,0,1,233,0,1,0,0,0,0,0,0
115,31,160,18,108,108,0,0,0,1,0,0,172,4349,0,0
116,194,202,0,125,0,0,231,0,1,0,0,0,0,0,0
117,196,204,214,0,0,1,232,0,1,0,0,0,0,0,0
118,200,208,216,0,0,1,234,0,1,0,0,0,0,0,0
119,12,11,0,108,0,0,0,0,1,0,0,22,4349,0,0
120,184,119,121,0,0,0,224,0,1,0,0,0,0,0,0
121,0,0,220,0,0,0,0,0,1,0,0,0,0,0,0
122,217,218,54,0,0,0,157,0,1,0,0,0,0,0,0
123,30,38,213,0,0,1,237,0,1,0,0,0,0,0,0
124,194,203,222,0,0,0,0,0,1,0,0,0,0,0,0
125,338,224,318,0,718,0,0,0,1,0,1,328,700,0,0
126,186,329,211,0,0,1,225,0,1,3012,0,0,0,0,0
127,302,302,0,303,0,0,0,0,1,0,0,0,0,0,0
128,184,119,291,0,0,0,0,0,1,0,0,0,0,0,0
129,187,188,210,0,0,0,0,0,1,0,0,0,0,0,0
130,217,218,227,0,0,0,0,0,1,0,0,0,0,0,0
131,266,730,230,0,0,0,0,0,1,0,0,0,0,0,0
132,184,119,228,0,0,0,0,0,1,0,0,0,0,0,0
133,67,0,82,0,0,0,0,0,1,0,0,0,0,0,0
134,99,270,231,0,0,0,0,0,1,0,0,0,0,0,0
135,99,270,232,0,0,0,0,0,1,0,0,0,0,0,0
136,196,204,214,0,0,1,232,0,1,0,0,0,0,0,0
137,217,4910,0,325,4911,0,0,0,1,0,0,0,0,0,0
138,398,275,0,0,0,0,0,0,1,0,0,0,0,0,0
139,114,118,0,288,0,0,0,0,1,0,0,0,0,0,0
140,217,493,310,0,0,0,0,0,1,0,0,0,0,0,0
141,60,61,273,0,0,0,0,0,1,0,0,0,0,0,0
142,345,181,319,0,0,0,0,0,1,0,0,0,0,0,0
143,0,38,728,0,0,0,0,0,1,0,0,0,0,0,0
144,196,204,214,0,0,0,0,0,1,0,0,0,0,0,0
145,0,356,283,360,0,0,0,0,1,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
147,0,237,232,0,0,0,0,0,1,0,0,0,0,0,2
148,238,239,213,349,0,1,258,0,2,0,1,257,1704,0,0
149,0,0,0,242,0,0,0,0,1,0,0,0,0,0,0
150,114,3269,0,243,0,0,0,0,1,0,0,0,0,0,0
151,114,118,0,244,0,0,0,0,1,0,0,0,0,0,0
152,186,189,456,0,0,0,0,0,1,0,0,0,0,0,0
153,0,0,251,0,0,0,0,0,1,0,0,0,0,0,0
154,99,417,0,252,0,0,0,0,1,0,0,0,0,0,0
155,0,253,330,0,0,0,0,0,1,0,0,0,0,0,0
156,159,0,0,0,0,0,0,0,1,0,0,0,0,0,0
157,60,61,249,0,0,0,0,0,1,0,0,0,0,0,0
158,0,267,254,0,0,0,0,0,1,0,0,0,0,0,0
159,439,256,0,0,0,0,0,0,1,0,0,0,0,0,0
160,0,750,831,0,0,0,0,0,1,0,0,0,0,0,0
161,403,260,0,0,0,0,0,0,1,0,0,0,0,0,0
162,171,172,1006,0,0,1,224,0,1,0,0,0,0,0,0
163,0,341,0,262,342,0,0,0,1,0,0,0,0,0,0
164,0,265,0,814,284,0,0,0,1,0,0,0,0,0,0
165,0,265,264,0,473,0,0,0,1,0,0,0,0,0,0
166,0,268,290,33,0,0,0,0,1,0,0,0,0,0,0
167,0,269,0,0,0,0,0,0,1,0,0,0,0,0,0
168,217,218,271,0,0,0,0,0,1,0,0,0,0,0,0
169,217,218,272,0,0,0,0,0,1,0,0,0,0,0,0
170,0,279,0,301,0,0,0,0,1,0,0,0,0,0,0
171,280,281,0,0,0,0,0,0,1,0,0,0,0,0,0
172,17,47,220,69,0,0,0,0,1,0,0,0,0,0,0
173,124,72,283,0,0,1,157,0,1,3087,0,0,0,0,0
174,0,279,121,298,0,0,0,0,1,0,0,0,0,0,0
175,137,138,0,0,0,0,0,0,1,0,0,0,0,0,0
176,307,308,0,0,0,0,0,0,1,0,0,0,0,0,0
177,0,341,0,293,402,0,0,0,1,0,0,0,0,0,0
178,0,367,295,0,0,0,0,0,1,0,0,0,0,0,0
179,114,418,0,297,0,0,0,0,1,0,0,0,0,0,0
180,518,4629,0,0,0,0,0,0,1,0,0,0,0,0,0
181,765,766,306,0,0,0,0,0,1,0,0,0,0,0,0
182,217,218,0,340,0,0,0,0,1,0,0,0,0,0,0
183,114,118,311,0,0,0,0,0,1,0,0,0,0,0,0
184,0,0,0,312,0,0,0,0,1,0,0,0,0,0,0
185,114,118,313,0,0,0,0,0,1,0,0,0,0,0,0
186,266,267,315,0,0,0,0,0,1,0,0,0,0,0,0
187,345,476,320,0,0,0,0,0,1,0,0,0,0,0,0
188,31,160,0,322,323,0,0,0,1,0,0,172,4349,0,0
189,0,182,220,0,0,0,0,0,1,0,0,0,0,0,0
190,0,327,328,0,0,0,151,0,1,0,0,0,0,0,0
191,305,294,0,0,0,0,0,0,1,0,0,0,0,0,0
192,345,181,331,0,0,0,0,0,1,0,0,0,0,0,0
193,99,270,333,0,0,0,2,0,1,0,0,0,0,0,0
194,99,337,431,0,0,0,0,0,1,0,0,0,0,0,0
195,171,172,497,221,0,1,362,2,2,0,1,257,4349,0,0
196,345,181,339,0,0,0,0,0,1,0,0,0,0,0,0
197,0,352,0,0,0,0,0,0,1,0,0,0,0,0,0
198,171,172,145,0,0,1,188,2,1,0,1,257,4349,0,0
199,0,279,0,343,0,0,0,0,1,0,0,0,0,0,0
200,0,81,0,344,0,0,0,0,1,0,0,0,0,0,0
201,345,181,895,0,0,0,0,0,1,0,0,0,0,0,0
202,238,239,0,0,0,1,256,0,1,0,0,0,0,0,0
203,0,0,240,0,0,0,258,0,1,0,0,257,4349,0,0
204,100,183,347,0,0,0,0,0,0,0,0,0,0,0,0
205,0,492,348,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,145,0,0,0,188,2,0,0,1,257,4349,0,0
207,0,0,240,235,0,0,0,0,0,0,0,0,0,0,0
208,0,74,348,0,0,0,0,0,0,0,0,0,0,0,0
209,0,350,749,0,0,0,0,0,0,0,0,0,0,0,0
210,0,351,693,0,0,0,0,0,0,0,0,0,0,0,0
211,99,270,353,0,0,0,0,0,0,0,0,0,0,0,0
212,0,181,542,0,0,0,0,0,0,0,0,0,0,0,0
213,0,356,441,349,0,0,0,0,0,0,0,0,0,0,0
214,345,181,357,0,0,0,0,0,0,0,0,0,0,0,0
215,358,1964,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
235,0,0,378,0,0,1,0,0,1,0,0,0,0,0,0
236,0,379,0,825,0,0,0,0,1,0,0,0,0,0,0
237,3436,0,371,0,0,0,0,0,1,0,0,0,0,0,0
238,30,38,213,0,0,0,0,0,1,0,0,0,0,0,0
239,266,730,381,0,0,0,0,0,1,0,0,0,0,0,0
240,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0
241,345,181,336,0,0,0,0,0,1,0,0,0,0,0,0
242,60,61,383,0,0,0,0,0,1,0,0,0,0,0,0
243,380,0,0,0,0,0,0,0,1,0,0,0,0,0,0
244,0,385,121,0,0,0,0,0,1,0,0,0,0,0,0
245,386,387,282,0,0,0,0,0,1,0,0,0,0,0,0
246,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0
247,0,389,0,4031,0,0,0,0,0,0,0,0,0,0,0
248,80,110,390,0,0,0,0,0,1,0,0,0,0,0,0
249,0,392,0,0,0,0,0,0,1,0,0,0,0,0,0
250,0,394,220,0,0,0,0,0,1,0,0,0,0,0,0
251,0,396,0,0,0,0,0,0,1,0,0,0,0,0,0
252,397,0,0,0,0,0,0,0,1,0,0,0,0,0,0
253,0,399,3049,0,0,0,0,0,1,0,0,0,0,0,0
254,416,416,401,0,0,0,0,0,1,0,0,0,0,0,0
255,0,404,0,312,0,0,0,0,1,0,0,0,0,0,0
256,0,407,408,780,0,0,0,0,0,0,0,0,0,0,0
257,0,411,0,691,0,0,0,0,1,0,0,0,0,0,0
258,345,5629,0,0,0,0,0,0,1,0,1,437,736,0,0
259,197,5390,413,0,717,0,0,0,1,0,1,398,609,0,0
260,0,414,415,0,0,1,365,0,1,0,0,0,0,0,0
261,0,414,255,0,0,0,0,0,1,0,1,591,4349,0,0
262,0,0,0,0,729,0,0,0,1,0,0,0,0,0,0
263,266,267,3394,0,0,0,0,0,1,0,1,1985,3289,0,0
264,0,352,0,0,0,0,0,0,1,0,0,0,0,0,0
265,0,0,421,0,0,0,0,0,1,0,0,0,0,0,0
266,0,411,423,33,0,0,0,0,1,0,0,0,0,0,0
267,171,424,76,235,0,1,365,0,1,3011,0,0,0,0,0
268,0,4509,419,0,0,1,405,0,1,3012,0,0,0,0,0
269,0,4509,419,0,0,1,406,0,1,3012,0,0,0,0,0
270,0,4509,419,0,0,1,407,0,1,3012,0,0,0,0,0
271,266,267,419,0,0,1,408,0,1,3012,0,0,0,0,0
272,30,38,286,0,0,1,365,2,1,0,0,0,0,0,0
273,0,356,348,0,0,0,0,0,0,0,0,0,0,0,0
274,345,181,56,426,0,0,0,0,1,0,0,0,0,0,0
275,427,270,0,0,0,0,0,0,1,0,0,0,0,0,0
276,0,0,428,0,0,0,0,0,1,0,0,0,0,0,0
277,0,429,0,814,430,0,0,0,1,0,0,0,0,0,0
278,99,270,433,0,0,0,0,0,1,0,0,0,0,0,0
279,217,218,0,434,0,0,0,0,1,0,0,0,0,0,0
280,99,270,435,436,0,0,0,0,1,0,0,0,0,0,0
281,0,438,0,247,0,0,0,0,1,0,0,0,0,0,0
282,0,0,348,0,0,0,0,0,1,0,0,0,0,0,0
283,171,172,0,0,0,1,258,0,1,0,0,0,0,0,0
284,266,267,440,0,0,0,0,0,1,0,0,0,0,0,0
285,99,270,442,0,0,0,0,0,1,0,0,0,0,0,0
286,5290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,171,172,0,288,0,1,243,0,1,0,0,0,0,0,0
288,0,0,446,0,0,0,0,0,1,0,0,0,0,0,0
289,60,61,447,0,0,0,0,0,1,0,0,0,0,0,0
290,60,61,448,0,0,0,0,0,1,0,0,0,0,0,0
291,197,205,450,0,0,0,0,0,1,0,0,0,0,0,0
292,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,451,0,0,0,0,0,1,0,0,0,0,0,0
294,0,0,455,0,0,0,0,0,1,0,0,0,0,0,0
295,0,0,453,0,0,0,0,0,1,0,0,0,0,0,0
296,0,0,454,0,0,0,0,0,1,0,0,0,0,0,0
297,0,0,452,0,0,0,0,0,1,0,0,0,0,0,0
298,186,189,457,0,0,0,0,0,1,0,0,0,0,0,0
299,186,189,458,0,0,0,0,0,1,0,0,0,0,0,0
300,186,189,459,0,0,0,0,0,1,0,0,0,0,0,0
301,0,1785,0,0,0,0,0,0,1,0,0,0,0,0,0
302,186,189,461,0,0,0,0,0,1,0,0,0,0,0,0
303,0,462,0,221,0,0,0,0,1,0,0,0,0,0,0
304,30,38,286,0,0,0,0,0,1,3011,0,0,0,0,0
305,30,38,286,0,0,0,0,0,1,3011,0,0,0,0,0
306,217,218,465,0,0,0,0,0,1,0,0,0,0,0,0
307,0,751,811,0,0,0,0,0,1,0,0,0,0,0,0
308,0,504,466,505,0,0,0,0,1,0,0,0,0,0,0
309,266,267,0,0,0,0,0,0,1,0,0,0,0,0,0
310,60,61,300,467,0,0,0,0,1,0,0,0,0,0,0
311,266,267,666,0,0,0,0,0,0,0,0,0,0,0,0
312,99,270,472,0,0,0,0,0,1,0,0,0,0,0,0
313,184,119,291,0,0,0,0,0,1,0,0,0,0,0,0
314,184,475,474,0,0,0,0,0,1,0,0,0,0,0,0
315,0,477,0,0,0,0,0,0,1,0,0,0,0,0,0
316,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0
317,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0
318,0,480,0,0,0,1,2262,0,1,0,1,2002,4349,0,0
319,0,352,0,0,0,0,0,0,1,0,0,0,0,0,0
320,482,0,300,0,0,0,0,0,1,0,0,0,0,0,0
321,0,752,808,0,0,0,0,0,1,0,0,0,0,0,0
322,0,484,485,349,0,0,0,0,1,0,0,0,0,0,0
323,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0
324,184,119,487,0,0,0,0,0,1,0,0,0,0,0,0
325,345,181,526,0,0,0,0,0,0,0,0,0,0,0,0
326,0,652,0,488,0,0,0,0,1,0,0,0,0,0,0
327,305,0,0,0,0,0,0,0,1,0,0,0,0,0,0
328,217,218,489,0,0,0,0,0,1,0,0,0,0,0,0
329,60,5391,0,235,716,0,0,0,1,0,1,448,692,0,0
330,0,74,348,33,0,0,0,0,0,0,0,0,0,0,0
331,223,356,419,349,0,0,0,0,1,0,0,0,0,0,0
332,223,356,419,349,0,0,0,0,1,0,0,0,0,0,0
333,60,61,494,0,0,0,0,0,1,0,0,0,0,0,0
334,345,181,495,0,0,0,0,0,1,0,0,0,0,0,0
335,266,267,496,0,0,0,0,0,1,0,0,0,0,0,0
336,217,218,498,4031,0,0,0,0,1,0,0,0,0,0,0
337,99,270,500,0,0,0,0,0,1,0,0,0,0,0,0
338,60,61,501,0,0,0,0,0,1,0,0,0,0,0,0
339,114,118,503,502,0,0,0,0,1,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
341,0,862,0,221,0,0,0,0,1,0,0,0,0,0,0
342,0,506,437,0,0,0,0,0,1,0,0,0,0,0,0
343,217,218,508,0,0,0,0,0,1,0,0,0,0,0,0
344,345,181,70,0,0,0,0,0,1,0,0,0,0,0,0
345,0,0,158,0,0,0,0,0,1,0,0,0,0,0,0
346,217,218,719,0,0,0,0,0,1,0,0,0,0,0,0
347,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,0,87,0,0,0,0,1,0,0,0,0,0,0
349,0,0,0,221,0,0,0,0,1,0,0,0,0,0,0
350,217,4209,0,0,0,0,0,0,0,0,0,0,0,0,0
351,114,118,233,87,0,0,0,0,1,0,0,0,0,0,0
352,217,218,511,0,0,0,0,0,1,0,0,0,0,0,0
353,380,1165,0,0,0,0,0,0,1,0,0,0,0,0,0
354,0,512,0,0,0,0,0,0,1,0,0,0,0,0,0
355,0,516,145,0,0,0,0,0,1,0,0,0,0,0,0
356,0,0,0,514,0,0,0,0,1,0,0,0,0,0,0
357,0,0,515,0,0,0,0,0,1,0,0,0,0,0,0
358,223,888,348,0,0,0,0,0,1,0,0,0,0,0,0
